class_id,class_name,n_objects,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,high_freq_energy
0,plastic,4000,0.789929,0.114116,0.0425,0.026054,0.016668,0.00949,0.001037,0.000204,0.027399
1,glass,4000,0.780979,0.128361,0.043274,0.024534,0.014386,0.007796,0.000572,9.8e-05,0.022852
2,metal,4000,0.761627,0.131462,0.048997,0.02857,0.017963,0.010001,0.001161,0.000219,0.029343
3,paper,4000,0.706236,0.15222,0.062201,0.038196,0.024057,0.01438,0.002252,0.000454,0.041144
4,cardboard,4000,0.736045,0.136322,0.053124,0.034735,0.023147,0.014101,0.002068,0.000455,0.039772
5,organic,4000,0.832256,0.110785,0.029449,0.014287,0.008455,0.004564,0.000175,2.8e-05,0.013222
