class_id,class_name,n_objects,mean_intensity,std_intensity,p10_intensity,p50_intensity,p90_intensity,grad_mean,grad_std,edge_density
0,plastic,4000,142.926971,41.090153,91.225372,142.681625,194.230743,65.023697,80.791313,0.123448
1,glass,4000,131.371094,48.104794,72.880875,128.387375,197.002747,82.030441,97.999344,0.142375
2,metal,4000,134.969849,51.113827,68.989372,134.617493,201.125626,94.976265,104.36245,0.174971
3,paper,4000,156.974777,44.943665,94.842377,162.891495,209.648132,95.759254,102.622986,0.170298
4,cardboard,4000,142.097305,40.533726,89.933746,143.39325,191.942871,69.77446,88.024376,0.123295
5,organic,4000,121.556099,33.676636,78.673874,121.080124,165.119125,55.021019,57.071712,0.101122
