class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
0,plastic,1000,0.040313,0.050968,0.026053,0.013332,0.008447,0.005965,0.01125,0.007782,0.021641,0.056238,0.059798,0.009772,0.00571,0.003068,0.004999,0.008,0.191915,0.046815,0.021126,0.015096,0.016707,0.017207,0.011053,0.013413,0.012104,0.020404,0.023482,0.036473,0.059668,0.069844,0.057263,0.054095,146.165405,141.711975,137.819641,40.860306,42.584095,45.693066,72.948517,56.212173,158.675079,31.554384,40.294155,39.509861
1,glass,1000,0.07652,0.062928,0.021107,0.01108,0.019685,0.028901,0.010002,0.005785,0.020965,0.029343,0.019993,0.006073,0.004338,0.002703,0.005612,0.008297,0.130117,0.045999,0.031988,0.027171,0.024343,0.022226,0.019422,0.032068,0.016734,0.033345,0.034243,0.038417,0.044252,0.04733,0.048336,0.070676,117.643036,136.93898,135.79158,54.263245,49.48391,51.240444,53.90871,84.325241,152.421432,30.899944,46.546692,48.731842
2,metal,1000,0.084465,0.068414,0.041541,0.015031,0.006563,0.004835,0.009919,0.005964,0.014574,0.028867,0.025608,0.006914,0.003195,0.001963,0.003825,0.011657,0.189351,0.057859,0.027271,0.017206,0.012221,0.010165,0.009249,0.01001,0.01052,0.022189,0.036031,0.047284,0.053975,0.059541,0.054855,0.048939,133.47641,139.588074,146.089127,52.787891,50.937004,49.509548,50.129337,49.195919,152.643814,31.826366,34.601696,48.6576
3,paper,1000,0.067791,0.076703,0.042977,0.013933,0.005031,0.003388,0.005078,0.004084,0.012666,0.030733,0.038447,0.009927,0.004152,0.002607,0.006148,0.009667,0.202462,0.060055,0.025204,0.015872,0.011448,0.008068,0.005189,0.005035,0.007149,0.011749,0.020887,0.031513,0.046706,0.063382,0.079563,0.072384,155.513,160.043411,165.6073,47.018238,45.384346,44.593159,54.974148,42.052715,172.949051,34.266167,30.804989,43.311703
4,cardboard,1000,0.052542,0.190713,0.023516,0.005736,0.003508,0.002416,0.002574,0.00191,0.005753,0.012023,0.011962,0.003349,0.00241,0.002291,0.00281,0.009822,0.072762,0.046212,0.071357,0.07126,0.040245,0.016045,0.00885,0.006603,0.005481,0.012755,0.024116,0.040336,0.060606,0.076846,0.067013,0.046182,115.498482,137.610733,159.838104,45.416882,42.586617,40.488625,34.175735,86.016098,163.220627,28.12916,39.801449,39.837246
5,organic,1000,0.081415,0.087008,0.041524,0.024792,0.019446,0.010877,0.009408,0.010968,0.013341,0.003574,0.001896,0.001909,0.001607,0.001695,0.005566,0.018308,0.041053,0.063223,0.051664,0.039039,0.035886,0.032605,0.027676,0.042188,0.012282,0.027183,0.037354,0.046769,0.053909,0.057187,0.055709,0.042942,87.56279,118.416405,141.87117,35.765068,35.07523,32.776295,42.152824,117.417778,148.154327,27.580725,37.291855,34.095684
