class_id,class_name,n_objects,mean_intensity,std_intensity,p10_intensity,p50_intensity,p90_intensity,grad_mean,grad_std,edge_density
0,plastic,1000,141.055435,42.25975,88.065498,140.289505,194.742004,66.02549,80.819962,0.1243
1,glass,1000,134.396332,49.404747,75.259003,130.617004,202.108002,85.330124,101.872993,0.149028
2,metal,1000,140.839325,49.883186,75.762497,141.759003,204.323502,93.07547,102.393166,0.170901
3,paper,1000,161.199112,44.478714,99.110497,167.731003,212.425003,97.770454,104.472473,0.17338
4,cardboard,1000,141.74469,41.188965,87.821999,143.595001,192.089493,70.769424,88.421471,0.127266
5,organic,1000,121.912537,33.286743,78.837997,122.106499,164.776001,54.02354,55.88747,0.098314
