class_id,class_name,n_objects,fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,high_freq_energy
0,plastic,1000,0.795078,0.111534,0.041185,0.02547,0.016343,0.009277,0.00093,0.000181,0.026731
1,glass,1000,0.768177,0.13514,0.046382,0.026111,0.015206,0.008238,0.000634,0.000111,0.02419
2,metal,1000,0.758752,0.130185,0.051057,0.029488,0.018686,0.01039,0.001212,0.000228,0.030516
3,paper,1000,0.698263,0.158072,0.063962,0.038742,0.024265,0.014134,0.002141,0.000419,0.040959
4,cardboard,1000,0.748119,0.134735,0.049933,0.031548,0.020814,0.012552,0.001868,0.000428,0.035663
5,organic,1000,0.833473,0.110059,0.028968,0.014226,0.008502,0.00457,0.000174,2.7e-05,0.013273
